model,balancing,class_weight,threshold_mode,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
AdaBoost,SMOTE,None,default,0.9833748814999473,0.08585365853658537,0.8979591836734694,0.15672306322350846,0.9757805591285472,0.7763751107914104,55927,937,10,88
AdaBoost,SMOTE,None,recall,0.8064499139777396,0.008457040035987405,0.9591836734693877,0.01676625345581022,0.9757805591285472,0.7763751107914104,45843,11021,4,94
AdaBoost,SMOTE,Balanced,default,0.9833748814999473,0.08585365853658537,0.8979591836734694,0.15672306322350846,0.9757805591285472,0.7763751107914104,55927,937,10,88
AdaBoost,SMOTE,Balanced,recall,0.8064499139777396,0.008457040035987405,0.9591836734693877,0.01676625345581022,0.9757805591285472,0.7763751107914104,45843,11021,4,94
AdaBoost,SMOTE_Tomek,None,default,0.9842702152312067,0.09034907597535935,0.8979591836734694,0.16417910447761194,0.9758076556452631,0.7770232218838066,55978,886,10,88
AdaBoost,SMOTE_Tomek,None,recall,0.7926512411783294,0.00789849592471221,0.9591836734693877,0.015667972331027586,0.9758076556452631,0.7770232218838066,45057,11807,4,94
AdaBoost,SMOTE_Tomek,Balanced,default,0.9842702152312067,0.09034907597535935,0.8979591836734694,0.16417910447761194,0.9758076556452631,0.7770232218838066,55978,886,10,88
AdaBoost,SMOTE_Tomek,Balanced,recall,0.7926512411783294,0.00789849592471221,0.9591836734693877,0.015667972331027586,0.9758076556452631,0.7770232218838066,45057,11807,4,94
AdaBoost,ClusterCentroids,None,default,0.2005020891120396,0.002125468369962969,0.9897959183673469,0.004241827921722969,0.9094160754481871,0.04032656600669136,11324,45540,1,97
AdaBoost,ClusterCentroids,None,recall,0.4324637477616657,0.002899623665864643,0.9591836734693877,0.005781768975273711,0.9094160754481871,0.04032656600669136,24540,32324,4,94
AdaBoost,ClusterCentroids,Balanced,default,0.2005020891120396,0.002125468369962969,0.9897959183673469,0.004241827921722969,0.9094160754481871,0.04032656600669136,11324,45540,1,97
AdaBoost,ClusterCentroids,Balanced,recall,0.4324637477616657,0.002899623665864643,0.9591836734693877,0.005781768975273711,0.9094160754481871,0.04032656600669136,24540,32324,4,94
